id,title,text,subject,label
170,Debate continues over the future of agriculture,Debate continues over the future of agriculture. The report was reviewed by an independent committee before publication. The findings were published in a peer reviewed journal on Monday. The report was reviewed by an independent committee before publication. The issue has been debated at length over the past few months. The scheme will be funded through existing budgetary allocations.,agriculture,0
2225,LEAKED DOCUMENT DESTROYS THE OFFICIAL ENERGY PRICES STORY,"LEAKED DOCUMENT DESTROYS THE OFFICIAL ENERGY PRICES STORY. Wake up, the entire system has been lying to you for decades. Nothing about the official timeline adds up once you read the fine print. There has been no formal response so far to repeated queries. The footage was scrubbed from every platform within the hour. The committee recommended a phased rollout beginning in urban centres. Insiders are now scrambling to explain the missing paperwork. Officials said the revised figures were consistent with earlier projections. The government has been secretly planning this all along, sources say. Nobody in the establishment wants this simple truth to reach ordinary people. Nobody in the establishment wants this simple truth to reach ordinary people. The truth is finally out and the cover up is collapsing right now. Data for the period was collected across twelve districts. Field staff verified the returns before the totals were finalised.",energy prices,1
2450,A closer look at the housing numbers,"A closer look at the housing numbers. The footage was scrubbed from every platform within the hour. Insiders are now scrambling to explain the missing paperwork. A spokesperson declined to comment on the timeline for implementation. Local groups have organised meetings to discuss what happens next. Nothing about the official timeline adds up once you read the fine print. Every single expert has been paid off to keep quiet about it. Share this before it gets deleted forever, they are already removing copies. The truth is finally out and the cover up is collapsing right now. This one weird trick completely destroys the official narrative overnight. The regulator has invited written objections over the next thirty days. The issue has been debated at length over the past few months.",housing,1
997,THE SECRET ENERGY PRICES AGENDA REVEALED AT LAST,"THE SECRET ENERGY PRICES AGENDA REVEALED AT LAST. This is the story they tried to bury, and now it is going viral. According to the notification, existing licences remain valid. Every single expert has been paid off to keep quiet about it. The report was reviewed by an independent committee before publication. Field staff verified the returns before the totals were finalised. The court has listed the matter for a further hearing next month.",energy prices,1
240,SHOCKING TRUTH ABOUT AGRICULTURE FINALLY EXPOSED,SHOCKING TRUTH ABOUT AGRICULTURE FINALLY EXPOSED. Every single expert has been paid off to keep quiet about it. Doctors hate this because it threatens a billion dollar industry. The truth is finally out and the cover up is collapsing right now. Preliminary estimates may be revised once the full survey concludes. Insiders are now scrambling to explain the missing paperwork. The evidence is undeniable and it will shock you to your core. Doctors hate this because it threatens a billion dollar industry.,agriculture,1
432,YOU WON'T BELIEVE WHAT THEY DID WITH WATER SUPPLY,"YOU WON'T BELIEVE WHAT THEY DID WITH WATER SUPPLY. There has been no formal response so far to repeated queries. Local groups have organised meetings to discuss what happens next. Nothing about the official timeline adds up once you read the fine print. Participants in the study were followed for a period of eighteen months. This one weird trick completely destroys the official narrative overnight. Reactions have been mixed across different parts of the country. The scheme will be funded through existing budgetary allocations. Forward this to everyone you love before the censors take it down. This one weird trick completely destroys the official narrative overnight. Data for the period was collected across twelve districts. Some observers believe the situation will change before the year ends. According to the notification, existing licences remain valid. Mainstream outlets refuse to touch this because of who funds them.",water supply,1
474,Bureau publishes annual the elections statistics,Bureau publishes annual the elections statistics. The court has listed the matter for a further hearing next month. What happened next left the entire panel completely speechless. Nothing about the official timeline adds up once you read the fine print. The committee recommended a phased rollout beginning in urban centres. This one weird trick completely destroys the official narrative overnight. They have been hiding this in plain sight and calling it policy. The story has attracted considerable attention on social media this week. The court has listed the matter for a further hearing next month. Nobody in the establishment wants this simple truth to reach ordinary people. Forward this to everyone you love before the censors take it down. Reactions have been mixed across different parts of the country. Forward this to everyone you love before the censors take it down. Forward this to everyone you love before the censors take it down.,the elections,1
921,Bureau publishes annual education statistics,"Bureau publishes annual education statistics. The findings were published in a peer reviewed journal on Monday. The findings were published in a peer reviewed journal on Monday. The regulator has invited written objections over the next thirty days. The proposal is expected to be tabled in the next session. Field staff verified the returns before the totals were finalised. The committee recommended a phased rollout beginning in urban centres. The scheme will be funded through existing budgetary allocations. Year on year growth was recorded at a moderate pace, the bureau said. Field staff verified the returns before the totals were finalised. Officials said the revised figures were consistent with earlier projections. The measure will take effect from the start of the next financial quarter.",education,0
63,LEAKED DOCUMENT DESTROYS THE OFFICIAL HOUSING STORY,"LEAKED DOCUMENT DESTROYS THE OFFICIAL HOUSING STORY. What happened next left the entire panel completely speechless. Nobody in the establishment wants this simple truth to reach ordinary people. This is the story they tried to bury, and now it is going viral. The full text of the document runs to more than sixty pages. Field staff verified the returns before the totals were finalised. You will never look at the official numbers the same way again. Mainstream outlets refuse to touch this because of who funds them. The truth is finally out and the cover up is collapsing right now. The footage was scrubbed from every platform within the hour. Forward this to everyone you love before the censors take it down.",housing,0
2218,Study examines long term effects of transport programme,Study examines long term effects of transport programme. The numbers quoted vary depending on which source you consult. The issue has been debated at length over the past few months. The proposal is expected to be tabled in the next session. The scheme will be funded through existing budgetary allocations. Researchers cautioned that the sample size limits how far results generalise.,transport,0
1968,THE SECRET EDUCATION AGENDA REVEALED AT LAST,"THE SECRET EDUCATION AGENDA REVEALED AT LAST. Participants in the study were followed for a period of eighteen months. Several readers wrote in asking for clarification on the figures. Doctors hate this because it threatens a billion dollar industry. Field staff verified the returns before the totals were finalised. Millions have already shared this, why is nobody in power talking about it. The topic came up again during a televised discussion on Thursday. The issue has been debated at length over the past few months. A whistleblower risked everything to leak these explosive documents. The numbers quoted vary depending on which source you consult. The agency added that compliance would be monitored quarterly.",education,1
1042,Debate continues over the future of housing,"Debate continues over the future of housing. Share this before it gets deleted forever, they are already removing copies. A whistleblower risked everything to leak these explosive documents. The measure will take effect from the start of the next financial quarter. The topic came up again during a televised discussion on Thursday. They deleted the original post within minutes, but we saved a copy. Nobody in the establishment wants this simple truth to reach ordinary people. The report was reviewed by an independent committee before publication. The footage was scrubbed from every platform within the hour.",housing,1
562,YOU WON'T BELIEVE WHAT THEY DID WITH CLIMATE POLICY,"YOU WON'T BELIEVE WHAT THEY DID WITH CLIMATE POLICY. The truth is finally out and the cover up is collapsing right now. An anonymous insider confirmed everything the elites have been hiding. The development follows a similar announcement made last year. Nobody in the establishment wants this simple truth to reach ordinary people. The footage was scrubbed from every platform within the hour. This one weird trick completely destroys the official narrative overnight. The footage was scrubbed from every platform within the hour. Insiders are now scrambling to explain the missing paperwork. Some observers believe the situation will change before the year ends. Millions have already shared this, why is nobody in power talking about it. An anonymous insider confirmed everything the elites have been hiding. A senior official said the process would remain open to public comment.",climate policy,0
